Site;Transmitter;Azimuth (°);Site.Longitude;Site.Latitude
LUG705;LUG705_3;325;39,331388889E;48,558055556N
LUG706;LUG706_1;40;39,299588225E;48,566870768N
LUG706;LUG706_2;200;39,299588225E;48,566870768N
LUG706;LUG706_3;320;39,299588225E;48,566870768N
LUG707;LUG707_1;55;39,319166667E;48,541944444N
LUG707;LUG707_2;140;39,319166667E;48,541944444N
LUG707;LUG707_3;260;39,319166667E;48,541944444N
LUG708;LUG708_1;15;39,249166667E;48,562777778N
LUG708;LUG708_2;117;39,249166667E;48,562777778N
LUG708;LUG708_3;275;39,249166667E;48,562777778N
LUG709;LUG709_1;90;39,308627778E;48,564436111N
LUG709;LUG709_2;210;39,308627778E;48,564436111N
LUG709;LUG709_3;330;39,308627778E;48,564436111N
LUG710;LUG710_1;60;39,308233333E;48,570977778N
LUG710;LUG710_2;200;39,308233333E;48,570977778N
LUG710;LUG710_3;319;39,308233333E;48,570977778N
LUG714;LUG714_1;80;39,358755556E;48,526811111N
LUG714;LUG714_2;190,5;39,358755556E;48,526811111N
LUG714;LUG714_3;328;39,358755556E;48,526811111N
LUG715;LUG715_1;90;39,300277778E;48,579444444N
LUG715;LUG715_2;210;39,300277778E;48,579444444N
LUG715;LUG715_3;330;39,300277778E;48,579444444N
LUG716;LUG716_1;60;39,250738889E;48,531416667N
LUG716;LUG716_2;180;39,250738889E;48,531416667N
LUG716;LUG716_3;290;39,250738889E;48,531416667N
LUG717;LUG717_1;90;39,314166667E;48,571944444N
LUG717;LUG717_2;210;39,314166667E;48,571944444N
LUG717;LUG717_3;335;39,314166667E;48,571944444N
LUG718;LUG718_1;25;39,385383333E;48,608583333N
LUG718;LUG718_2;165;39,385383333E;48,608583333N
LUG718;LUG718_3;276;39,385383333E;48,608583333N
LUG719;LUG719_1;90;39,345869444E;48,573533333N
LUG719;LUG719_2;210;39,345869444E;48,573533333N
LUG719;LUG719_3;330;39,345869444E;48,573533333N
LUG721;LUG721_1;90;39,386666667E;48,562777778N
LUG721;LUG721_2;202;39,386666667E;48,562777778N
LUG721;LUG721_3;336;39,386666667E;48,562777778N
LUG722;LUG722_1;90;39,303055556E;48,570833333N
LUG722;LUG722_2;210;39,303055556E;48,570833333N
LUG722;LUG722_3;330;39,303055556E;48,570833333N
LUG723;LUG723_1;90;39,382777778E;48,575277778N
LUG723;LUG723_2;210;39,382777778E;48,575277778N
LUG723;LUG723_3;330;39,382777778E;48,575277778N
LUG729;LUG729_1;95;38,807777778E;48,467777778N
LUG729;LUG729_2;210;38,807777778E;48,467777778N
LUG729;LUG729_3;330;38,807777778E;48,467777778N
LUG732;LUG732_1;105;38,824988889E;48,466241667N
LUG732;LUG732_2;225;38,824988889E;48,466241667N
LUG732;LUG732_3;330;38,824988889E;48,466241667N
LUG733;LUG733_1;30;38,811111111E;48,454533333N
LUG733;LUG733_2;120;38,811111111E;48,454533333N
LUG733;LUG733_3;240;38,811111111E;48,454533333N
LUG736;LUG736_1;30;39,908055556E;48,290277778N
LUG736;LUG736_2;145;39,908055556E;48,290277778N
LUG736;LUG736_3;250;39,908055556E;48,290277778N
LUG738;LUG738_1;130;38,803611111E;48,471944444N
LUG738;LUG738_2;220;38,803611111E;48,471944444N
LUG738;LUG738_3;330;38,803611111E;48,471944444N
LUG751;LUG751_1;45;39,104166667E;48,106666667N
LUG751;LUG751_2;160;39,104166667E;48,106666667N
LUG751;LUG751_3;280;39,104166667E;48,106666667N
LUG752;LUG752_1;0;39,090866667E;48,116141667N
LUG752;LUG752_2;154;39,090866667E;48,116141667N
LUG752;LUG752_3;236;39,090866667E;48,116141667N
LUG753;LUG753_1;100;39,439166667E;48,0475N
LUG753;LUG753_2;220;39,439166667E;48,0475N
LUG753;LUG753_3;340;39,439166667E;48,0475N
LUG754;LUG754_1;0;39,650555556E;48,050277778N
LUG754;LUG754_2;83;39,650555556E;48,050277778N
LUG754;LUG754_3;300;39,650555556E;48,050277778N
LUG756;LUG756_1;20;39,054166667E;48,089166667N
LUG756;LUG756_2;140;39,054166667E;48,089166667N
LUG756;LUG756_3;260;39,054166667E;48,089166667N
LUG757;LUG757_1;0;39,373055556E;48,085N
LUG757;LUG757_2;115;39,373055556E;48,085N
LUG757;LUG757_3;240;39,373055556E;48,085N
LUG758;LUG758_1;60;39,636894444E;48,084308333N
LUG758;LUG758_2;180;39,636894444E;48,084308333N
LUG758;LUG758_3;300;39,636894444E;48,084308333N
LUG759;LUG759_1;80;39,678888889E;48,078333333N
LUG759;LUG759_2;210;39,678888889E;48,078333333N
LUG759;LUG759_3;320;39,678888889E;48,078333333N
LUG760;LUG760_1;90;39,695E;48,078333333N
LUG760;LUG760_2;250;39,695E;48,078333333N
LUG760;LUG760_3;350;39,695E;48,078333333N
LUG761;LUG761_1;90;39,315555556E;48,560555556N
LUG761;LUG761_2;210;39,315555556E;48,560555556N
LUG761;LUG761_3;330;39,315555556E;48,560555556N
LUG763;LUG763_1;60;39,662666667E;48,070883333N
LUG763;LUG763_2;180;39,662666667E;48,070883333N
LUG763;LUG763_3;300;39,662666667E;48,070883333N
LUG764;LUG764_1;90;39,670555556E;48,077777778N
LUG764;LUG764_2;210;39,670555556E;48,077777778N
LUG764;LUG764_3;330;39,670555556E;48,077777778N
LUG766;LUG766_1;120;38,535912593E;48,625853688N
LUG766;LUG766_2;240;38,535912593E;48,625853688N
LUG766;LUG766_3;340;38,535912593E;48,625853688N
LUG772;LUG772_1;0;39,305111111E;48,558688889N
LUG772;LUG772_2;120;39,305111111E;48,558688889N
LUG772;LUG772_3;240;39,305111111E;48,558688889N
LUG774;LUG774_1;80;39,650941667E;48,048169444N
LUG774;LUG774_2;160;39,650941667E;48,048169444N
LUG774;LUG774_3;255;39,650941667E;48,048169444N
LUG775;LUG775_1;0;38,909444444E;48,136666667N
LUG775;LUG775_2;120;38,909444444E;48,136666667N
LUG775;LUG775_3;240;38,909444444E;48,136666667N
LUG777;LUG777_1;0;39,362777778E;48,090833333N
LUG777;LUG777_2;120;39,362777778E;48,090833333N
LUG777;LUG777_3;240;39,362777778E;48,090833333N
LUG778;LUG778_1;25;38,639166667E;48,559166667N
LUG778;LUG778_2;130;38,639166667E;48,559166667N
LUG778;LUG778_3;270;38,639166667E;48,559166667N
LUG802;LUG802_1;30;39,269208333E;48,528080556N
LUG802;LUG802_2;135;39,269208333E;48,528080556N
LUG802;LUG802_3;220;39,269208333E;48,528080556N
LUG803;LUG803_1;20;39,260555556E;48,541944444N
LUG803;LUG803_2;150;39,260555556E;48,541944444N
